edge,status,seconds,clauses,returncode
28:349,NOT_VERIFIED,1.854587,13919,1
28:358,NOT_VERIFIED,1.817890,13919,1
29:3,NOT_VERIFIED,1.435560,13919,1
29:41,NOT_VERIFIED,1.939385,13919,1
29:83,NOT_VERIFIED,1.648983,13919,1
29:340,NOT_VERIFIED,1.730528,13919,1
29:359,NOT_VERIFIED,2.068545,13919,1
30:73,NOT_VERIFIED,0.955704,13919,1
30:74,NOT_VERIFIED,0.164742,13919,1
30:81,NOT_VERIFIED,0.161777,13919,1
30:83,NOT_VERIFIED,0.206320,13919,1
30:312,NOT_VERIFIED,0.174822,13919,1
30:314,NOT_VERIFIED,0.164382,13919,1
31:75,NOT_VERIFIED,0.631179,13919,1
31:80,NOT_VERIFIED,0.390032,13919,1
31:85,NOT_VERIFIED,0.173846,13919,1
31:314,NOT_VERIFIED,0.304526,13919,1
31:400,NOT_VERIFIED,0.139014,13919,1
32:77,NOT_VERIFIED,0.168372,13919,1
32:80,NOT_VERIFIED,0.155399,13919,1
32:82,NOT_VERIFIED,0.165259,13919,1
32:86,NOT_VERIFIED,0.337666,13919,1
33:99,NOT_VERIFIED,1.701129,13919,1
34:98,NOT_VERIFIED,2.196020,13919,1
36:9,NOT_VERIFIED,1.971729,13919,1
36:39,NOT_VERIFIED,2.017448,13919,1
36:69,NOT_VERIFIED,1.893711,13919,1
36:94,NOT_VERIFIED,1.812170,13919,1
37:4,NOT_VERIFIED,1.713452,13919,1
37:39,NOT_VERIFIED,2.180011,13919,1
37:41,NOT_VERIFIED,1.983315,13919,1
37:70,NOT_VERIFIED,1.450475,13919,1
37:88,NOT_VERIFIED,2.218748,13919,1
37:90,NOT_VERIFIED,1.771046,13919,1
37:93,NOT_VERIFIED,1.855216,13919,1
38:40,NOT_VERIFIED,2.337158,13919,1
38:41,NOT_VERIFIED,2.050300,13919,1
38:71,NOT_VERIFIED,2.121088,13919,1
38:89,NOT_VERIFIED,1.826752,13919,1
39:84,NOT_VERIFIED,1.805627,13919,1
40:85,NOT_VERIFIED,1.702733,13919,1
41:83,NOT_VERIFIED,1.556062,13919,1
41:99,NOT_VERIFIED,1.923507,13919,1
42:8,NOT_VERIFIED,1.764739,13919,1
42:44,NOT_VERIFIED,2.356235,13919,1
42:56,NOT_VERIFIED,2.003593,13919,1
42:59,NOT_VERIFIED,1.685473,13919,1
42:96,NOT_VERIFIED,1.801372,13919,1
43:44,NOT_VERIFIED,1.870677,13919,1
43:45,VERIFIED,2.559967,13919,0
43:63,NOT_VERIFIED,1.721900,13919,1
43:97,NOT_VERIFIED,2.065907,13919,1
44:74,NOT_VERIFIED,0.182342,13919,1
45:76,NOT_VERIFIED,1.803568,13919,1
45:79,NOT_VERIFIED,1.739143,13919,1
46:5,NOT_VERIFIED,1.781693,13919,1
46:49,NOT_VERIFIED,2.127936,13919,1
46:60,NOT_VERIFIED,1.950721,13919,1
46:91,NOT_VERIFIED,1.953899,13919,1
46:95,NOT_VERIFIED,2.081419,13919,1
47:5,NOT_VERIFIED,1.841261,13919,1
47:48,NOT_VERIFIED,2.016081,13919,1
47:63,NOT_VERIFIED,1.665422,13919,1
47:94,NOT_VERIFIED,1.758491,13919,1
48:5,NOT_VERIFIED,1.742863,13919,1
48:74,NOT_VERIFIED,1.898249,13919,1
49:5,NOT_VERIFIED,1.996992,13919,1
49:80,NOT_VERIFIED,1.799002,13919,1
50:8,NOT_VERIFIED,1.863554,13919,1
50:97,VERIFIED,1.958854,13919,0
51:96,NOT_VERIFIED,1.974776,13919,1
52:95,NOT_VERIFIED,1.803311,13919,1
57:67,NOT_VERIFIED,1.624863,13919,1
57:75,NOT_VERIFIED,0.230722,13919,1
57:88,NOT_VERIFIED,1.843870,13919,1
58:68,NOT_VERIFIED,1.810078,13919,1
58:73,NOT_VERIFIED,0.225052,13919,1
59:67,NOT_VERIFIED,1.257662,13919,1
59:73,NOT_VERIFIED,0.192833,13919,1
59:74,NOT_VERIFIED,0.342262,13919,1
60:65,NOT_VERIFIED,0.295524,13919,1
60:69,NOT_VERIFIED,0.409366,13919,1
60:75,NOT_VERIFIED,0.312752,13919,1
60:80,NOT_VERIFIED,0.321777,13919,1
62:70,NOT_VERIFIED,0.381029,13919,1
62:78,NOT_VERIFIED,1.430177,13919,1
62:79,NOT_VERIFIED,0.484790,13919,1
63:66,NOT_VERIFIED,0.145873,13919,1
63:69,NOT_VERIFIED,0.396556,13919,1
63:74,NOT_VERIFIED,0.142442,13919,1
63:79,NOT_VERIFIED,0.320602,13919,1
64:70,NOT_VERIFIED,0.169973,13919,1
64:77,NOT_VERIFIED,0.221028,13919,1
64:80,NOT_VERIFIED,0.245051,13919,1
68:8,NOT_VERIFIED,1.875863,13919,1
69:9,NOT_VERIFIED,0.178456,13919,1
73:83,NOT_VERIFIED,0.393081,13919,1
74:81,NOT_VERIFIED,0.167593,13919,1
74:85,NOT_VERIFIED,0.211021,13919,1
75:83,NOT_VERIFIED,0.667388,13919,1
77:86,NOT_VERIFIED,0.433733,13919,1
78:87,NOT_VERIFIED,1.503707,13919,1
79:86,NOT_VERIFIED,0.511668,13919,1
80:82,NOT_VERIFIED,0.183841,13919,1
80:85,NOT_VERIFIED,0.252717,13919,1
88:94,NOT_VERIFIED,2.223546,13919,1
89:99,NOT_VERIFIED,1.713443,13919,1
90:99,NOT_VERIFIED,1.962418,13919,1
91:95,NOT_VERIFIED,1.881527,13919,1
91:98,NOT_VERIFIED,1.829341,13919,1
92:96,NOT_VERIFIED,2.041053,13919,1
100:40,NOT_VERIFIED,1.785909,13919,1
100:48,NOT_VERIFIED,2.301052,13919,1
100:89,NOT_VERIFIED,1.846622,13919,1
100:94,NOT_VERIFIED,1.903641,13919,1
100:151,NOT_VERIFIED,1.797682,13919,1
100:154,NOT_VERIFIED,1.866733,13919,1
100:228,NOT_VERIFIED,1.800090,13919,1
100:244,NOT_VERIFIED,2.098020,13919,1
100:285,NOT_VERIFIED,1.941818,13919,1
100:289,NOT_VERIFIED,1.736758,13919,1
100:298,NOT_VERIFIED,1.753465,13919,1
100:303,NOT_VERIFIED,1.426645,13919,1
100:315,NOT_VERIFIED,1.424140,13919,1
100:322,NOT_VERIFIED,0.432642,13919,1
101:35,NOT_VERIFIED,1.816214,13919,1
101:39,NOT_VERIFIED,2.054062,13919,1
101:93,NOT_VERIFIED,1.858811,13919,1
101:94,NOT_VERIFIED,1.910564,13919,1
101:149,NOT_VERIFIED,2.268740,13919,1
101:229,NOT_VERIFIED,1.981787,13919,1
101:245,NOT_VERIFIED,1.960745,13919,1
101:292,NOT_VERIFIED,1.813450,13919,1
101:300,NOT_VERIFIED,2.018432,13919,1
101:302,NOT_VERIFIED,2.139037,13919,1
101:314,NOT_VERIFIED,0.329643,13919,1
101:323,NOT_VERIFIED,1.683458,13919,1
102:41,NOT_VERIFIED,1.866259,13919,1
102:93,NOT_VERIFIED,1.611151,13919,1
102:155,NOT_VERIFIED,1.934998,13919,1
102:246,NOT_VERIFIED,1.670750,13919,1
102:293,NOT_VERIFIED,1.994760,13919,1
102:299,NOT_VERIFIED,2.958610,13919,1
102:316,NOT_VERIFIED,1.614545,13919,1
103:49,NOT_VERIFIED,1.788730,13919,1
103:91,VERIFIED,2.124115,13919,0
103:92,NOT_VERIFIED,2.167166,13919,1
103:105,NOT_VERIFIED,2.072170,13919,1
103:150,NOT_VERIFIED,2.026528,13919,1
103:231,NOT_VERIFIED,1.702715,13919,1
103:247,NOT_VERIFIED,1.703365,13919,1
103:294,NOT_VERIFIED,1.667261,13919,1
103:301,NOT_VERIFIED,2.356686,13919,1
103:306,NOT_VERIFIED,1.984867,13919,1
103:317,NOT_VERIFIED,1.658136,13919,1
103:320,NOT_VERIFIED,1.333727,13919,1
104:44,NOT_VERIFIED,2.077808,13919,1
104:54,VERIFIED,1.968399,13919,0
104:115,NOT_VERIFIED,1.904359,13919,1
104:159,VERIFIED,1.913844,13919,0
104:306,NOT_VERIFIED,2.199903,13919,1
104:307,NOT_VERIFIED,2.033979,13919,1
104:314,NOT_VERIFIED,2.624682,13919,1
105:49,NOT_VERIFIED,1.998567,13919,1
105:53,NOT_VERIFIED,1.874151,13919,1
105:119,NOT_VERIFIED,1.782120,13919,1
105:160,NOT_VERIFIED,1.846636,13919,1
105:308,NOT_VERIFIED,1.966213,13919,1
105:317,NOT_VERIFIED,1.944647,13919,1
106:45,NOT_VERIFIED,2.281589,13919,1
106:55,NOT_VERIFIED,2.571217,13919,1
106:98,NOT_VERIFIED,2.154588,13919,1
106:120,NOT_VERIFIED,2.076435,13919,1
106:162,NOT_VERIFIED,1.953368,13919,1
106:307,NOT_VERIFIED,2.216560,13919,1
106:308,NOT_VERIFIED,2.531227,13919,1
106:316,NOT_VERIFIED,1.977287,13919,1
107:5,NOT_VERIFIED,0.185531,13919,1
107:21,NOT_VERIFIED,1.716837,13919,1
107:22,NOT_VERIFIED,1.808214,13919,1
107:47,NOT_VERIFIED,1.970901,13919,1
107:67,NOT_VERIFIED,1.641750,13919,1
107:71,NOT_VERIFIED,2.305212,13919,1
107:109,NOT_VERIFIED,2.107129,13919,1
