kind,candidate,vertices,edges,variables,clauses,status,seconds
vertex,210,516,2574,2064,13908,SAT,0.026120
vertex,211,516,2569,2064,13888,SAT,0.096574
vertex,212,516,2572,2064,13900,SAT,0.082516
vertex,213,516,2564,2064,13868,SAT,0.237058
vertex,214,516,2567,2064,13880,SAT,0.098891
vertex,215,516,2570,2064,13892,SAT,0.068611
vertex,216,516,2572,2064,13900,SAT,0.223502
vertex,217,516,2572,2064,13900,SAT,0.034224
vertex,218,516,2569,2064,13888,SAT,0.690093
vertex,219,516,2567,2064,13880,SAT,0.164359
vertex,220,516,2564,2064,13868,SAT,0.007570
vertex,221,516,2566,2064,13876,SAT,0.178036
vertex,222,516,2571,2064,13896,SAT,0.012671
vertex,223,516,2567,2064,13880,SAT,0.010177
vertex,224,516,2573,2064,13904,SAT,0.167234
vertex,225,516,2571,2064,13896,SAT,0.115953
vertex,226,516,2566,2064,13876,SAT,0.110629
vertex,227,516,2571,2064,13896,SAT,0.092659
vertex,228,516,2567,2064,13880,SAT,0.071741
vertex,229,516,2569,2064,13888,SAT,0.084038
vertex,230,516,2567,2064,13880,SAT,0.369072
vertex,231,516,2564,2064,13868,SAT,0.023587
vertex,232,516,2572,2064,13900,SAT,0.393031
vertex,233,516,2571,2064,13896,SAT,0.057531
vertex,234,516,2567,2064,13880,SAT,0.625722
vertex,235,516,2567,2064,13880,SAT,0.661858
vertex,236,516,2567,2064,13880,SAT,0.103204
vertex,237,516,2570,2064,13892,SAT,0.048747
vertex,238,516,2569,2064,13888,SAT,0.263680
vertex,239,516,2568,2064,13884,SAT,0.061555
vertex,240,516,2567,2064,13880,SAT,0.049226
vertex,241,516,2567,2064,13880,SAT,0.035758
vertex,242,516,2568,2064,13884,SAT,0.017758
vertex,243,516,2566,2064,13876,SAT,0.025265
vertex,244,516,2566,2064,13876,SAT,0.012235
vertex,245,516,2567,2064,13880,SAT,0.022988
vertex,246,516,2570,2064,13892,SAT,0.012569
vertex,247,516,2569,2064,13888,SAT,0.315557
vertex,248,516,2568,2064,13884,SAT,0.026516
vertex,249,516,2570,2064,13892,SAT,0.118964
vertex,250,516,2568,2064,13884,SAT,0.111484
vertex,251,516,2567,2064,13880,SAT,0.240489
vertex,252,516,2572,2064,13900,SAT,0.067692
vertex,253,516,2568,2064,13884,SAT,0.076435
vertex,254,516,2568,2064,13884,SAT,0.037201
vertex,255,516,2572,2064,13900,SAT,0.078343
vertex,256,516,2569,2064,13888,SAT,0.078554
vertex,257,516,2567,2064,13880,SAT,0.078057
vertex,258,516,2567,2064,13880,SAT,0.045729
vertex,259,516,2570,2064,13892,SAT,0.057362
vertex,260,516,2568,2064,13884,SAT,0.178138
vertex,261,516,2566,2064,13876,SAT,0.053788
vertex,262,516,2567,2064,13880,SAT,0.006849
vertex,263,516,2571,2064,13896,SAT,0.095704
vertex,264,516,2567,2064,13880,SAT,0.120204
vertex,265,516,2571,2064,13896,SAT,0.213795
vertex,266,516,2573,2064,13904,SAT,0.090017
vertex,267,516,2555,2064,13832,SAT,0.016689
vertex,268,516,2571,2064,13896,SAT,0.015944
vertex,269,516,2571,2064,13896,SAT,0.042972
vertex,270,516,2574,2064,13908,SAT,0.297775
vertex,271,516,2555,2064,13832,SAT,0.026855
vertex,272,516,2571,2064,13896,SAT,0.074581
vertex,273,516,2571,2064,13896,SAT,0.221991
vertex,274,516,2572,2064,13900,SAT,0.104942
vertex,275,516,2567,2064,13880,SAT,0.043611
vertex,276,516,2567,2064,13880,SAT,0.105778
vertex,277,516,2564,2064,13868,SAT,0.026790
vertex,278,516,2567,2064,13880,SAT,0.043417
vertex,279,516,2567,2064,13880,SAT,0.047079
vertex,280,516,2564,2064,13868,SAT,0.019937
vertex,281,516,2570,2064,13892,SAT,0.018748
vertex,282,516,2572,2064,13900,SAT,0.018770
vertex,283,516,2570,2064,13892,SAT,0.016525
vertex,284,516,2569,2064,13888,SAT,0.264757
vertex,285,516,2570,2064,13892,SAT,0.063298
vertex,286,516,2567,2064,13880,SAT,0.006820
vertex,287,516,2572,2064,13900,SAT,0.318179
vertex,288,516,2570,2064,13892,SAT,0.043764
vertex,289,516,2563,2064,13864,SAT,0.152856
vertex,290,516,2572,2064,13900,SAT,0.069937
vertex,291,516,2569,2064,13888,SAT,0.433763
vertex,292,516,2566,2064,13876,SAT,0.012658
vertex,293,516,2570,2064,13892,SAT,0.060328
vertex,294,516,2567,2064,13880,SAT,0.015461
vertex,295,516,2572,2064,13900,SAT,0.041703
vertex,296,516,2571,2064,13896,SAT,0.056290
vertex,297,516,2568,2064,13884,SAT,0.016389
vertex,298,516,2567,2064,13880,SAT,0.076124
vertex,299,516,2572,2064,13900,SAT,0.049740
vertex,300,516,2571,2064,13896,SAT,0.789798
vertex,301,516,2568,2064,13884,SAT,0.044687
vertex,302,516,2567,2064,13880,SAT,0.060142
vertex,303,516,2571,2064,13896,SAT,0.065253
vertex,304,516,2571,2064,13896,SAT,0.061661
vertex,305,516,2571,2064,13896,SAT,0.116159
vertex,306,516,2568,2064,13884,SAT,0.215640
vertex,307,516,2567,2064,13880,SAT,0.356912
vertex,308,516,2568,2064,13884,SAT,0.020151
vertex,309,516,2572,2064,13900,SAT,0.038259
vertex,310,516,2573,2064,13904,SAT,0.038022
vertex,311,516,2570,2064,13892,SAT,0.020667
vertex,312,516,2574,2064,13908,SAT,0.009884
vertex,313,516,2574,2064,13908,SAT,0.629308
vertex,314,516,2559,2064,13848,SAT,0.057415
vertex,315,516,2568,2064,13884,SAT,0.086632
vertex,316,516,2560,2064,13852,SAT,0.178770
vertex,317,516,2568,2064,13884,SAT,0.021392
vertex,318,516,2574,2064,13908,SAT,0.034557
vertex,319,516,2573,2064,13904,SAT,0.020225
vertex,320,516,2555,2064,13832,SAT,0.012923
vertex,321,516,2567,2064,13880,SAT,0.019026
vertex,322,516,2555,2064,13832,SAT,0.008090
vertex,323,516,2567,2064,13880,SAT,0.052614
vertex,324,516,2567,2064,13880,SAT,0.081865
vertex,325,516,2571,2064,13896,SAT,0.130362
vertex,326,516,2567,2064,13880,SAT,0.064048
vertex,327,516,2571,2064,13896,SAT,0.134938
vertex,328,516,2555,2064,13832,SAT,0.015516
vertex,329,516,2571,2064,13896,SAT,0.177218
vertex,330,516,2571,2064,13896,SAT,0.094117
vertex,331,516,2574,2064,13908,SAT,0.515985
vertex,332,516,2555,2064,13832,SAT,0.011146
vertex,333,516,2571,2064,13896,SAT,0.098607
vertex,334,516,2571,2064,13896,SAT,0.024331
vertex,335,516,2572,2064,13900,SAT,0.018307
vertex,336,516,2567,2064,13880,SAT,0.044468
vertex,337,516,2572,2064,13900,SAT,0.044608
vertex,338,516,2567,2064,13880,SAT,0.025442
vertex,339,516,2565,2064,13872,SAT,0.050498
vertex,340,516,2566,2064,13876,SAT,0.174049
vertex,341,516,2567,2064,13880,SAT,0.102131
vertex,342,516,2564,2064,13868,SAT,0.021089
vertex,343,516,2570,2064,13892,SAT,0.103842
vertex,344,516,2572,2064,13900,SAT,0.218918
vertex,345,516,2572,2064,13900,SAT,0.225326
vertex,346,516,2569,2064,13888,SAT,0.050611
vertex,347,516,2572,2064,13900,SAT,0.258670
vertex,348,516,2570,2064,13892,SAT,0.529094
vertex,349,516,2572,2064,13900,SAT,0.058431
vertex,350,516,2570,2064,13892,SAT,0.058133
vertex,351,516,2566,2064,13876,SAT,0.302933
vertex,352,516,2572,2064,13900,SAT,0.016923
vertex,353,516,2570,2064,13892,SAT,0.056450
vertex,354,516,2562,2064,13860,SAT,0.087504
vertex,355,516,2572,2064,13900,SAT,0.053325
vertex,356,516,2569,2064,13888,SAT,0.203522
vertex,357,516,2566,2064,13876,SAT,0.074272
vertex,358,516,2570,2064,13892,SAT,0.024188
vertex,359,516,2567,2064,13880,SAT,0.134169
vertex,360,516,2571,2064,13896,SAT,0.921887
vertex,361,516,2571,2064,13896,SAT,0.568171
vertex,362,516,2568,2064,13884,SAT,0.154439
vertex,363,516,2567,2064,13880,SAT,0.010444
vertex,364,516,2571,2064,13896,SAT,0.082901
vertex,365,516,2571,2064,13896,SAT,0.102566
vertex,366,516,2569,2064,13888,SAT,0.017578
vertex,367,516,2567,2064,13880,SAT,0.029909
vertex,368,516,2569,2064,13888,SAT,0.012857
vertex,369,516,2571,2064,13896,SAT,0.071666
vertex,370,516,2571,2064,13896,SAT,0.014172
vertex,371,516,2569,2064,13888,SAT,0.137876
vertex,372,516,2569,2064,13888,SAT,0.060558
vertex,373,516,2569,2064,13888,SAT,0.106277
vertex,374,516,2572,2064,13900,SAT,0.332891
vertex,375,516,2572,2064,13900,SAT,0.021722
vertex,376,516,2570,2064,13892,SAT,0.025797
vertex,377,516,2574,2064,13908,SAT,0.269257
vertex,378,516,2573,2064,13904,SAT,0.025481
vertex,379,516,2560,2064,13852,SAT,0.019090
vertex,380,516,2568,2064,13884,SAT,0.106336
vertex,381,516,2559,2064,13848,SAT,0.089311
vertex,382,516,2567,2064,13880,SAT,0.027117
vertex,383,516,2572,2064,13900,SAT,0.078133
vertex,384,516,2571,2064,13896,SAT,0.013432
vertex,385,516,2571,2064,13896,SAT,0.219321
vertex,386,516,2572,2064,13900,SAT,0.349221
vertex,387,516,2572,2064,13900,SAT,0.024832
vertex,388,516,2571,2064,13896,SAT,0.019192
vertex,389,516,2571,2064,13896,SAT,0.096146
vertex,390,516,2572,2064,13900,SAT,0.115837
vertex,391,516,2572,2064,13900,SAT,0.013863
vertex,392,516,2571,2064,13896,SAT,0.139992
vertex,393,516,2570,2064,13892,SAT,0.030325
vertex,394,516,2572,2064,13900,SAT,0.102245
vertex,395,516,2570,2064,13892,SAT,0.099351
vertex,396,516,2570,2064,13892,SAT,0.015142
vertex,397,516,2570,2064,13892,SAT,0.101633
vertex,398,516,2570,2064,13892,SAT,0.122792
vertex,399,516,2570,2064,13892,SAT,0.106722
vertex,400,516,2571,2064,13896,SAT,0.047955
vertex,401,516,2565,2064,13872,SAT,0.024607
vertex,402,516,2565,2064,13872,SAT,0.100237
vertex,403,516,2565,2064,13872,SAT,0.104089
vertex,404,516,2566,2064,13876,SAT,0.141742
vertex,405,516,2567,2064,13880,SAT,0.041578
vertex,406,516,2567,2064,13880,SAT,0.116641
vertex,407,516,2566,2064,13876,SAT,0.102241
vertex,408,516,2566,2064,13876,SAT,0.129054
vertex,409,516,2565,2064,13872,SAT,0.014318
